
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, <br>, NOTIME, NOTIME
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, Doublelift is in champ select. His team bans Yuumi|| Poppy|| Jax|| Taliyah|| and Pyke. The enemy team bans Master Yi|| Katarina|| Akali|| Lulu|| and Fiddlesticks. Doublelift is support and his ADC is hovering Zeri. This is a sponsored stream by Irish Spring in the bottom left and right corners of the screen., 03:47:08, 0:00
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, Doublelift selects his runes: Guardian|| font of life|| bone plating|| revitalize|| zombie ward|| and relentless hunter with attack speed|| armor and health for his minor runes as he reads from a website, 03:47:08, 0:33
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, Before picking bard|| we see his team has locked in Zeri ADC|| Qiyana Jungle|| Renekton top|| Cassiopeia Mid. The enemy team has Gnar|| Vex|| Pantheon|| Lux|| and Samira., 03:47:08, 1:37
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, Doublelift locks in Bard with the skin Astronaut Bard, 03:47:08, 1:44
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB,  After loading in|| we see Lux has dark harvest and exhaust as Doublelift pings Lux repeatly. Doublelift reads what Lux is typing in chat. We see Zeri say oh my god and Cassiopeia laughs, 03:47:08, 2:44
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, His team's Qiyana is saying the game is a free win in chat, 03:47:08, 3:00
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, Doublelift is walking into the top blueside river spamming his a key, 03:47:08, 3:37
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, Doublelift collects a chime as he walks into the bottom blueside tri-brush, 03:47:08, 3:57
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, Doublelift walks into the brushes as the enemy samira plays back towards her tower, 03:47:08, 4:22
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, The enemy Samira asks to report the Lux. Double asks the enemy in all chat if they would be interested in some Irish spring|| commenting it is freshly scented and it smells like a nice smelling place., 03:47:08, 4:46
League-B-TA, TA, L2, https://drive.google.com/drive/folders/1uKnWARwR0wEq5T05EQzbVawJ8epRho-_?usp=share_link, LB, The Zeri starts to pok, 03:47:08, 5:00
